Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
flower-lip-and-eye-makeup-collection-set,Flower Set,<p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Lip & Eye Set,"#.collection:promoproducts,#.excluded:SpringSale25,#.hidden:false,#.promo-price:2100,#.shipping:Venezuela-restrict,022521,category:Kits/Sets,collab:Disney,Collection,color:Multi,event:Bambi,EyeCollection,finish:Multi,new,productline:ColourPop,productsize:full,producttype:Lip & Eye Set,subcategory:Set,unitnumber:7,unittype:bundle",2021-02-25T09:59:07-08:00,Title,Default Title,,,,,Bundle-Flower,108,shopify,,,,28.00,,True,True,,,1,,,Flower Set,Flower Set,,,,,,,,,,,,,,,G,,
anna-disney-makeup-collection-kit,Anna Collection,"<p>Inspired by the free-spirited princess, get the full Anna Collection that includes the Anna Palette, Lux Lipstick, Ultra Glossy Lip, and Glitterally Obsessed Gel.</p>",ColourPop,Full Collection Kit,"#.excluded:10milli25,#.excluded:AFTERXMAS20,#.excluded:cw2020,#.excluded:FALL25,#.excluded:PresidentsDay25,#.excluded:SpringSale25,#.hidden:false,#.prezsaleprice:3375,#.promo-price:3150,#.xmassaleprice:3150,111519,Breadcrumb:Makeup-Sets,category:Kits/Sets,collab:Disney,Collection,color:Multi,dy_keywords:disney|frozen|anna,event:Frozen 2 2019,finish:Multi,FreeShip,productline:ColourPop,productsize:full,producttype:Full Collection Kit,subcategory:Kit,unitnumber:12,unittype:kit",2019-11-15T09:57:28-08:00,Title,Default Title,,,,,Kit-AnnaCollection,516,shopify,,,,42.00,,True,True,,,1,,,Anna Collection,Anna Collection,,,,,,,,,,,,,,,G,,
elsas-disney-makeup-collection-kit,Elsa Collection,"<p>Inspired by the ice queen herself, get the full Elsa Collection that includes the Elsa Palette, Lux Lipstick, Ultra Glossy Lip, and Glitterally Obsessed Gel.</p><p>This item is limited edition.</p><p>©Disney</p>",ColourPop,Full Collection Kit,"#.collection:promoproducts,#.excluded:10milli25,#.excluded:AFTERXMAS20,#.excluded:cw2020,#.excluded:FALL25,#.excluded:PresidentsDay25,#.excluded:SpringSale25,#.hidden:false,#.prezsaleprice:3375,#.promo-price:3150,#.xmassaleprice:3150,111519,Breadcrumb:Makeup-Sets,category:Kits/Sets,collab:Disney,Collection,color:Multi,dy_keywords:disney|elsa|frozen,event:Frozen 2 2019,finish:Multi,FreeShip,productline:ColourPop,productsize:full,producttype:Full Collection Kit,subcategory:Kit,unitnumber:12,unittype:kit",2019-11-15T09:57:27-08:00,Title,Default Title,,,,,Kit-ElsaCollection,516,shopify,,,,42.00,,True,True,,,1,,,Elsa Collection,Elsa Collection,,,,,,,,,,,,,,,G,,
frozen-ii-collection,Frozen ll Collection,<p>Disney and ColourPop are back with another epic collaboration. Get the entire Frozen II PR Collection that includes Anna and Elsa’s 2 complete collections in one!</p><p>This item is limited edition.</p><p>©Disney</p>,ColourPop,Full Collection Set,"#.collection:promoproducts,#.excluded:10milli25,#.excluded:cw2020,#.excluded:FALL25,#.excluded:PresidentsDay25,#.excluded:SpringSale25,#.hidden:false,#.prezsaleprice:6750,#.promo-price:6300,111519,Breadcrumb:Makeup-Sets,category:Kits/Sets,collab:Disney,Collection,color:Multi,dy_keywords:frozen|disney,event:Frozen 2 2019,finish:Multi,FreeShip,productline:ColourPop,productsize:full,producttype:Full Collection Set,subcategory:Set,unitnumber:24,unittype:bundle",2021-01-01T09:31:21-08:00,Title,Default Title,,,,,Bundle-FrozenIICollection,1032,shopify,,,,84.00,,True,True,,,1,,,Frozen ll Collection,Frozen ll Collection,,,,,,,,,,,,,,,G,,
melt-for-you-palette,Melt For You,<p>It’s a sister thing! Get the perfect balance of warm and cool with the Anna and Elsa Palettes!</p><p>This item is limited edition.</p><p>©Disney</p>,ColourPop,Set,"#.excluded:10milli25,#.excluded:cw2020,#.excluded:PresidentsDay25,#.excluded:SpringSale25,#.hidden:false,#.prezsaleprice:2400,#.promo-price:1950,#.promo:LastCall40,#.value:false,111519,9panpromo,Breadcrumb:Makeup-Sets,category:Bundles,collab:Disney,color:Multi,event:Frozen 2,EyeCollection,finish:Multi,MexicoCarousel,productline:ColourPop,productsize:full,producttype:Unpackaged Bundle,subcategory:Bundles,unitnumber:24,unittype:bundle,unittype:kit",2021-01-06T18:16:36-08:00,Title,Default Title,,,,,Bundle-MeltForYou,227,shopify,,,,26.00,,True,True,,,1,,,Melt For You,Melt For You,,,,,,,,,,,,,,,G,,
disney-bambi-and-colourpop-full-makeup-collection-set,Disney Bambi and ColourPop Collection,<p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Full Collection Set,"#.collection:promoproducts,#.excluded:SpringSale25,#.hidden:false,#.promo-price:8625,#.shipping:Venezuela-restrict,022521,category:Kits/Sets,collab:Disney,Collection,color:Multi,event:Bambi,finish:Multi,new,productline:ColourPop,productsize:full,producttype:Full Collection Set,subcategory:Set,unitnumber:24,unittype:bundle",2021-02-25T09:59:03-08:00,Title,Default Title,,,,,Bundle-DisneyBambiCollection,454,shopify,,,,115.00,,True,True,,,1,,,Disney Bambi and ColourPop Collection,Disney Bambi and ColourPop Collection,,,,,,,,,,,,,,,G,,
life-in-the-woods-creme-gel-eyeliner-kit,Life in the Woods,<p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Crème Gel Liner Kit,"#.collection:promoproducts,#.excluded:SpringSale25,#.hidden:false,#.promo-price:1800,#.shipping:Venezuela-restrict,022521,category:Kits/Sets,collab:Disney,Collection,color:Multi,Crème Gel Liner,event:Bambi,EyeCollection,finish:Multi,new,productline:ColourPop,productsize:full,producttype:Crème Gel Liner Set,subcategory:Kit,unitnumber:3,unittype:kit",2021-02-25T09:59:09-08:00,Title,Default Title,,,,,Kit-LifeInTheWoods,28,shopify,,,,24.00,,True,True,,,1,,,Life in the Woods,Life in the Woods,,,,,,,,,,,,,,,G,,
thumper-pink-lip-gloss,Thumper Gloss,<p>sheer warm pink with gold shimmering pinpoints</p><p><br></p><p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Lux Gloss,"#.collection:promoproducts,#.hidden:false,#.promo-price:675,#.shipping:Venezuela-restrict,022521,category:Lips,collab:Disney,color:Pinks,event:Bambi,finish:Pearlescent,lipgloss,LiquidLips,liquidlipstick,Lux Gloss,Lux Liquid Lip,new,Pearlescent,Pinks,productline:ColourPop,productsize:full,producttype:Lux Gloss,subcategory:Gloss,unitnumber:1,unittype:single",2021-02-25T09:59:15-08:00,Title,Default Title,,,,,LuxGloss-Thumper,37,shopify,,,,9.00,,True,True,,,1,,,Thumper Gloss,Thumper Gloss,,,,,,,,,,,,,,,G,,
twitterpated-lip-gloss-kit,Twitterpated,<p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Lux Gloss Kit,"#.collection:promoproducts,#.excluded:SpringSale25,#.hidden:false,#.promo-price:2025,#.shipping:Venezuela-restrict,022521,category:Kits/Sets,collab:Disney,Collection,color:Multi,event:Bambi,finish:Pearlescent,Lip Set,lipgloss,new,productline:ColourPop,productsize:full,producttype:Lux Gloss Kit,subcategory:Kit,unitnumber:3,unittype:kit",2021-02-25T09:59:18-08:00,Title,Default Title,,,,,Kit-Twitterpated,113,shopify,,,,27.00,,True,True,,,1,,,Twitterpated,Twitterpated,,,,,,,,,,,,,,,G,,
show-yourself-disney-frozen-elsa-palette-and-lip-gloss-set,Show Yourself,<p>go on an epic adventure with the elsa palette and ultra glossy lip!</p>,ColourPop,Lip & Eye Set,"#.collection:promoproducts,#.excluded:cw2020,#.excluded:FALL25,#.excluded:SpringSale25,#.hidden:false,#.promo-price:1500,100120,category:Kits/Sets,collab:Disney,Collection,color:Multi,disneybundles,event:Frozen 2 2019,finish:Multi,productline:ColourPop,productsize:full,producttype:Lip & Eye Set,subcategory:Set,unitnumber:10,unittype:bundle",2021-03-03T20:23:39-08:00,Title,Default Title,,,,,Bundle-ShowYourself,145,shopify,,,,20.00,,True,True,,,1,,,Show Yourself,Show Yourself,,,,,,,,,,,,,,,G,,
